1,ABAH LUENG,BANDAR BARU,PIDIE JAYA,11,24184
2,ABAIL,TEUPAH TENGAH,SIMEULUE,11,23891
3,ABEUK BUDI,JULI,BIREUEN,11,24251
4,ABEUK GEULANTEU,MADAT,ACEH TIMUR,11,24458
5,ABEUK JALOH,JANGKA,BIREUEN,11,24261
6,ABEUK LEUPON (LEUPEN),LHOKSUKON,ACEH UTARA,11,24382
7,ABEUK REULING,SAWANG,ACEH UTARA,11,24377
8,ABEUK TINGKEUM,JEUMPA,BIREUEN,11,24251
9,ABEUK USONG,JEUMPA,BIREUEN,11,24251
10,ABO TEUBENG,PIDIE,PIDIE,11,24151
11,ADAN,BANDAR DUA,PIDIE JAYA,11,24188
12,ADAN,TANGAN-TANGAN,ACEH BARAT DAYA,11,23763
13,ADANG,PADANG TIJI,PIDIE,11,24161
14,AFDELING II BUKIT / BUKET,BIREM BAYEUN,ACEH TIMUR,11,24452
15,AGUSEN,BLANG KEJEREN,GAYO LUES,11,24655
16,AIH SELAH,PANTAN CUACA,GAYO LUES,11,24654
17,AIR BERUDANG,TAPAK TUAN,ACEH SELATAN,11,23711
18,AIR DINGIN,SIMEULEU TIMUR,SIMEULUE,11,23891
19,AIR MASIN,SERUWAY,ACEH TAMIANG,11,24473
20,AIR PINANG,SIMEULEU TIMUR,SIMEULUE,11,23891
21,AIR PINANG,TAPAK TUAN,ACEH SELATAN,11,23711
22,AIR SIALANG HILIR,SAMA DUA,ACEH SELATAN,11,23752
23,AIR SIALANG HULU,SAMA DUA,ACEH SELATAN,11,23752
24,AIR SIALANG TENGAH,SAMA DUA,ACEH SELATAN,11,23752
25,AJEE CUT,INGIN JAYA,ACEH BESAR,11,23371
26,AJEE PAGAR AIR,INGIN JAYA,ACEH BESAR,11,23371
27,AJEE RAYEUK,INGIN JAYA,ACEH BESAR,11,23371
28,AJUEN,PEUKAN BADA,ACEH BESAR,11,23351
29,AKANG SIWAH,BLANG PEGAYON,GAYO LUES,11,24653
30,AKHIH MAJILE,LEUSER,ACEH TENGGARA,11,24673
31,AKI NEUNGOH,BANDAR BARU,PIDIE JAYA,11,24184
32,AKUL,BLANG JERANGO,GAYO LUES,11,24655
33,ALAI,KLUET TIMUR,ACEH SELATAN,11,23772
34,ALAM JAYA,GAJAH PUTIH,BENER MERIAH,11,24553
35,ALAS MEMANCAR,BABUSSALAM,ACEH TENGGARA,11,24651
36,ALAS MESIKHAT,BABUL RAHMAH,ACEH TENGGARA,11,24673
37,ALEN,SYAMTALIRA BAYU,ACEH UTARA,11,24373
38,ALEU RAMBONG,JULI,BIREUEN,11,24251
39,ALONG JAYA,SALANG,SIMEULUE,11,23893
40,ALUE (MEUNASAH ALUE),TANAH PASIR,ACEH UTARA,11,24391
41,ALUE ABEE,LHOKSUKON,ACEH UTARA,11,24382
42,ALUE ABET,KEUDE PANGA,ACEH JAYA,11,23653
43,ALUE ADAN,MUTIARA TIMUR,PIDIE,11,24173
44,ALUE AMBANG,TEUNOM,ACEH JAYA,11,23653
45,ALUE ANOU BARAT,BAKTIYA,ACEH UTARA,11,24392
46,ALUE ANOU TIMU,BAKTIYA,ACEH UTARA,11,24392
47,ALUE AWE,GEUREDONG PASE,ACEH UTARA,11,24373
48,ALUE AWE,MUARA DUA,LHOKSEUMAWE,11,24352
49,ALUE BADEE,SIMPANG KRAMAT (KERAMAT),ACEH UTARA,11,24313
50,ALUE BAGOK,ARONGAN LAMBALEK,ACEH BARAT,11,23652
51,ALUE BAKONG,BUBON,ACEH BARAT,11,23652
52,ALUE BARAT,SAMALANGA,BIREUEN,11,24264
53,ALUE BARO,MEUKEK,ACEH SELATAN,11,23754
54,ALUE BAROH,SEUNUDDON (SEUNUDON),ACEH UTARA,11,24393
55,ALUE BATA,TADU RAYA,NAGAN RAYA,11,23661
56,ALUE BATEE,ARONGAN LAMBALEK,ACEH BARAT,11,23652
57,ALUE BATEE,PEUDAWA,ACEH TIMUR,11,24454
58,ALUE BATEE,RANTO PEUREULAK,ACEH TIMUR,11,24453
59,ALUE BATEUNG BROK,DARUL MAKMUR,NAGAN RAYA,11,23662
60,ALUE BAYEU UTANG,JANGKA,BIREUEN,11,24261
61,ALUE BERAWE,LANGSA KOTA,LANGSA,11,24410
62,ALUE BIE PUSONG,JANGKA,BIREUEN,11,24261
63,ALUE BIENG,PAYA BAKONG,ACEH UTARA,11,24386
